,text,DA
309,and if you have something which i should put on the web page for you,D
311,yeah some pictures will be nice.,S
314,yeah it depends on how much time you have.,S
348,yeah.,S
351,another point's like uh what about the bank.,S
354,another point.,S
363,that's the point.,S
368,yeah but at least then it should be huh i think be uh i.c.s.i. part and not network restricted.,S
387,maybe i talk with jane about this.,S
409,but that could still be applicable if you put it under the icsi site if you take the responsibility for that.,S
431,but i think that's an administration problem and that everybody agrees that the information page must be on the general on the highest level.,S
435,but,F
436,but i think we discuss if still,D
451,yes.,S
488,and if we have some talks from exterm and we had some in the past we can also put the slides on on these things.,S
495,that's and i think it's a great idea from claudia to to have this event page.,S
498,no it's easy to to add it.,S
501,yeah.,S
504,if there are no events then there are no events.,S
524,yeah.,S
540,let's consider update event button.,S
542,so and then the next point and i believe yeah so not the last one is one that i would like to know the status as far it is possible from everybody concerning his future intention here at i.c.s.i. or whether when he will leave whether he can or will he consider currently uh contribute here to the proposal.,S
575,i don't think so.,S
596,but i think even also k.p.n. is lost for the uh for the i.c.s.i.,S
603,um so from your side the statement is um that uh independently of your person uh the k.p.n. is not they're not willing to send us another guy here to i.c.s.i. anyway.,S
614,k.p.n. and and i.c.s.i. in principle.,S
647,well uh,F
648,even later if uh there is some interesting work uh going on.,S
702,we have uh other students are which are uh huh people that has a grant.,S
711,it's not sure.,S
726,but the main thing is that there is a uh this big difference.,S
736,yeah i think so too.,S
755,in the relation of u.s.a.i.a.i. also have the activities with georgia tech.,S
767,but i think we will uh detail these things then in one of the last meetings.,S
769,how is your status and and your ideas and your plans and your future and,D
772,i will,D
778,afterwards um at berlin i'm yeah funded by an institution of the german government.,S
780,they are paying me.,S
787,on the other hand there are also uh some students or,D
789,at the moment it's quite difficult to find students uh who are doing their master's thesis and so on.,S
792,about two years ago the numbers of students were um studying computer science uh started to increase again.,S
797,so hopefully this work will be go on.,S
807,it's some of pre stage to that.,S
817,but oder?,D
823,we want to we started to collect information to write the paper about quality of serving routing for m.p.l.s. in an m.p.l.s. domain.,S
866,my last point uh in principle is the proposal itself.,S
868,i know in the past it was always if i'm not writing something nothing going to happen.,S
913,everybody's waiting.,S
920,it's a pity that multicast is in principle removed.,S
925,but neverless we have to live with this situation.,S
943,then we can extend the proposal one more time with multicast.,S
946,no i mean that,D
948,i i i think that it cannot uh be uh considered the first type task to do.,S
953,if,D
960,i do not mean to drop it to remove the text from the proposal.,S
970,yeah.,S
973,no no.,S
1,uh,B
24,there are here are uh the results.,S
26,and i will not,D
29,and um,F
30,the reading was five minutes exactly.,S
106,yes.,S
109,there's no female equivalent of,D
116,yeah that's what i was thinking but,D
121,uh,F
122,and um,F
123,so some some work needs to be done but i think we can uh,D
127,great.,F
128,so first of all i agree that um we should hire fey and start paying her.,S
137,so anyway,F
138,um,F
143,well yeah she's she's not a a student.,S
146,huh.,B
171,yep.,B
174,great.,S
178,well as i say there is this set of people next door it's not hard to,D
182,however we may run into a problem with a reading task there.,S
185,we could talk to the people who run it and um see if they have a way that they could easily uh tell people that there's a task pays ten bucks or something.,S
196,my idea on that was uh partly we'll talk about system stuff for the computer scientists.,S
242,so let's let's,D
252,so basically all i did was i took the last belief net.,S
298,now.,S
307,so what,D
331,because i don't understand how it would work otherwise.,S
336,well i oh yeah i i understand that.,S
341,uh,F
342,there there are a variety of ways of doing it.,S
347,there're ways to uh sort of back off on the purity of your bayes-net-edness.,S
357,so,F
358,so in that case the we'd have we,D
363,so what i was going to say is is maybe a good at this point is to try to informally,D
381,and,F
397,uh,F
398,well i think this is still i mean ad hoc.,S
416,and a very simple thing.,S
432,you're you're,D
456,ultimately.,S
502,right.,F
503,but it's not construction there it's action.,S
544,and that's so getting back to here.,S
560,right.,S
566,and then it would have values uh tour business or uh hurried.,S
575,the probabilities of both of them happening at the same time,D
584,the each of these things is going to be a a a probability.,S
587,so like landmark ness and usefulness.,S
634,i think that's i think that's exactly right.,S
665,i think we i i can come up with a a code for a module that we call the cognitive dispatcher which does nothing.,S
673,then,D
677,this this is not a complaint this is a promise to do more work.,S
694,yep.,B
696,maybe we,D
708,it uh,D
712,i'm not a i'm not particularly opposed to adding that or any other task.,S
717,i'm just saying that i'm going to have to do some sort of first principles thinking about this.,S
760,it's unfortunate also that english has sort of got rid of most of its spatial adverbs.,S
763,well you have prepositional phrases that,D
774,oh yeah!,S
793,yeah that was my,D
801,yeah and and and yeah and and she took it seriously and stuff.,S
817,right.,B
823,okay.,S
30,you can see the transcript.,S
37,again i'm not sure how much i should talk about stuff before everyone's here.,S
51,yeah that's good.,S
53,so everyone needs to fill out only once the speaker form and the consent form.,S
59,on the speaker form just fill out as much of the information as you can.,S
65,and i think that's about it.,S
95,um it uh,F
96,i don't know a good way of doing it on the audio and still have people who are doing discourse research be able to use the data.,S
172,either one of those.,S
213,we could pursue um if we thought it's it's worth it but uh i think we we will agree on that um to come up with a with a sort of very very first crude prototype.,S
217,focus on that object down,D
254,okay i this um these intentions we we could if we want to call it the the vista mode.,S
328,my suggestion is really simple.,S
384,and this is in general it's going to be true of any kind of deep understanding.,S
407,so that the the output of the belief net is pretty well formed.,S
448,yeah.,S
492,they call it intention hypotheses.,S
519,because um sometimes people just say things.,S
534,still outcome the outcome will be some form of structure.,S
568,but,F
569,go go back to the the uh,D
613,we need a different uh engine.,S
630,i guess,D
659,not from that data.,S
712,but you know,D
714,and i think the other concern that has come up before too is if it's,D
716,i don't know if this was collected what situation this data was collected in.,S
725,no not,D
750,i'm sure we can produce some if we need it.,S
779,um first thing is you have to read a text about heidelberg.,S
820,so in the display you can oh you said that you you might have a display that shows like the,D
878,uhhuh.,D
882,maybe the maybe what you're suggesting,D
925,so that's so nancy we'll have at some point we'll have another discussion on exactly you know how that's going to go.,S
953,the the problem that i was going to try to focus on today was let's suppose by magic you could collect dialogues in which one way or the other you were able to uh figure out both the intention.,S
991,all these,D
1034,probably that's not worth it.,S
1074,there's the tool kit that um kevin murphy has developed.,S
1085,yeah i know him.,S
1095,um so if it has that i.o. capability and if it's a java package it will definitely be able we can couple.,S
1105,all of these things have been built with much bigger projects than this in mind.,S
1122,you know feature value x.m.l. format is probably as good a way as any.,S
1159,it's uh,F
1160,it doesn't control what you do you know internally.,S
1176,i was actually more joking with the two or three days.,S
1198,right yeah.,S
1216,so this is while you were doing this i received two lovely emails.,S
1275,so this was actually an actual problem that we encountered.,S
4,going again.,S
10,that's if these are anonymized.,S
12,oh okay.,S
15,uh anyway.,S
24,okay.,B
33,uh and uh then uh talk a little bit about about disks and resource resource issues that that's starting to get worked out.,S
42,yeah that's good.,S
52,plenty of electrons left there.,S
54,so um,F
55,uh,F
56,okay.,F
57,so uh i wanted to start this with this mundane thing.,S
59,uh i i it was it was kind of my bright idea to have us take a plane that leaves at seven twenty in the morning.,S
61,oh yeah that's right.,S
83,oh boy!,S
85,so,F
92,i guess once you get past the bridge that that would be the worst.,S
114,so,F
115,great.,S
117,so that'll,D
126,you're staying overnight.,S
131,that's sort of one night.,S
133,anyway.,F
134,so six a m in front.,S
136,six a m in front.,S
147,okay.,F
148,that was the real real important stuff.,S
164,okay.,S
166,so the h t k base lines so this is using mel cepstra and so on.,S
168,yeah.,S
170,and again i guess the the plan is uh to uh then given this,D
191,well what we want to do is first we have number for each uh task.,S
197,yeah so,D
213,yeah but the the idea is to compute the feature before the before sending them to the,D
219,oh i see.,S
235,well nnn,F
236,but i'm not sure,D
253,well actually for the moment if we do not want to use these phone databases we we already have uh english spanish and french uh with microphone speech.,S
255,uhhuh.,B
260,yeah.,S
268,well we also have this broadcast news that we were talking about taking off the disk which is is microphone data for for english.,S
300,you think so.,S
325,well,F
326,well,F
327,but no but you you pick up the phone.,S
332,so the phone doesn't know what a what what your language is.,S
341,it could be.,S
361,yeah so i don't i know unfortunately i don't i see what you're where you're coming from i think.,S
368,yeah.,S
370,there's there's uh,D
387,yeah.,B
398,so,F
399,uh and they aren't you know with the exception of finnish which i guess it's pretty different from most most things.,S
412,the,D
424,without without any licensing big deals or anything like that.,S
429,but i'm am i,D
441,and and the inputs are p l p and delta and that sort of thing.,S
458,so so you take p l p and you you uh do it uh you you uh use h t k with it with the transformed features using a neural net that's trained.,S
469,maybe.,S
472,uhhuh.,B
474,i mean those listening to this will not have a picture either.,S
516,you know i i i guess i'm sounding cavalier.,S
548,it's it's definitely broader.,S
550,but actually the issue of uh phoneme mappings will arise when we will do use several languages.,S
598,well we have that now too right?,S
607,so actually maybe now you've got me sort of intrigued.,S
620,okay.,S
639,well.,F
640,uh he can't actually.,S
642,but,D
649,and,F
650,the last dimension happens to be,D
663,so let's see.,S
677,multi band.,S
688,and then multi band after networks meaning.,S
691,and using the the outputs of these networks or the linear outputs or something like that.,S
693,yeah.,F
703,uhhuh.,S
705,well,F
706,not for the the a n n.,S
710,we could we could add m f c c also.,S
717,conceptually it makes sense as a as a base line.,S
763,yeah.,S
768,um,F
769,oh yeah.,S
796,okay.,F
797,and then we have uh um broader broader corpus um like timit.,S
817,okay.,S
853,and the french from france.,S
856,no the french is yeah from uh paris.,S
872,and um,F
873,within the training corporas um we're uh thinking about um training with noise.,S
875,incorporating the same kinds of noises that um aurora is incorporating in their um in their training corpus.,S
891,yeah.,B
896,uhhuh.,B
908,yeah.,S
915,the spanish perhaps.,S
927,yeah.,S
931,they are preparing.,S
934,okay.,F
935,so uh,F
936,yeah.,F
937,something like seven things in each uh each column.,S
941,so that's,D
952,i'm just kidding.,S
957,type a type b and type c.,S
965,also we can clean that,D
970,um,F
971,yeah.,S
1006,so i mean,F
1007,you don't want to,D
1009,let's see.,S
1012,it's not a complete set of combinations though.,S
1022,there's,D
1025,yeah.,S
1030,yeah.,F
1031,when you do that you're increasing the size of the inputs to the net.,S
1034,i mean,F
1035,so it doesn't increase the number of trainings.,S
1052,so there's not really a limit.,S
1058,okay.,B
1060,uh i think the computation isn't so much of a problem.,S
1065,uhhuh.,B
1067,but yeah.,F
1068,i was just realizing that actually it doesn't explode out.,S
1070,it's not really two to the seventh.,S
1075,uh if you have all of these nets trained some place then uh you can combine their outputs and do the k l transformation and so forth.,S
1077,uhhuh.,B
1082,uh,F
1083,right.,F
1084,i mean it's just running the data through.,S
1096,uh,F
1097,one would think one net.,S
1099,but we've i don't think we've tested that.,S
1107,so i guess the first thing is if if we know how much a how long a a training takes.,S
1116,which is a little bit.,S
1123,but there is the testing also which implies training uh the h t k models.,S
1126,the h t k model.,S
1140,more than six hours.,S
1157,i don't know what ravioli is.,S
1170,i guess.,S
1178,and it,D
1180,so,F
1181,i mean,F
1182,clearly there's no way we can even begin to do any significant amount here unless we use multiple machines.,S
1194,well you have a,D
1200,it's let's say it's six hours or eight hours or something for the training of h t k.,S
1204,i would say two days.,S
1218,i i think the neural net spert.,S
1221,yes.,S
1250,so this is,D
1252,i kind of like this because what it,D
1259,so with very limited time we actually have really quite a quite a bit of computational resource available.,S
1262,on the other hand almost anything that really you know is is new where we're saying well let's look at like we were talking before about uh uh voiced-unvoiced-silence detection features and all those sort that's,D
1280,and uh then you know set it up in terms of scripts and so forth and uh in in kind some kind of structured way.,S
1282,um and you know when we go to uh o g i next week uh we can then present to them you know what it is that we're doing.,S
1288,and uh,F
1289,then uh like we're there.,S
1316,yeah.,B
1320,i begin to work with the italian database to nnn to with the front end and with the h t k program and the.,S
1336,so it's it's it's a little messier.,S
1343,um and i think to to to recognize the italian digits with the neural spanish neural network.,S
1369,okay.,F
1370,oh also that,D
1382,so you're just having a problem converting the labels.,S
1393,huh.,B
1416,we have a lot more computational capability here than they do at o g i.,S
1425,i i was thinking two things.,S
1454,i still think we could do a lot of them.,S
1459,but a hundred is a lot.,S
1461,okay.,B
1463,yeah.,B
1471,i mean my point,D
1477,we're over the next year or two we're going to be upgrading the networks in this place.,S
1486,now we are getting more disk for the central file server.,S
1490,you put them all in the central at the central file server.,S
1499,we're,D
1501,it's going to take us a couple weeks at least to get the uh uh the amount of disk we're going to be getting we're actually going to get.,S
1507,but uh,F
1508,we've put another i guess there's another eighteen gigabytes that's that's in there now to help us with the immediate crunch.,S
1510,are you saying,D
1518,well,F
1519,to,D
1535,huh.,B
1537,haven't been haven't been doing much computing personally.,S
1539,um,F
1540,yeah.,S
1555,right right.,S
1579,and so that's the kind of thing where like if um okay if you don't have an n t but you have a a a unix workstation and they attach an external disk it'll be called slash x something uh if it's not backed up.,S
1596,yeah.,S
1606,uhhuh.,B
1616,um i've been going through and copying data that is you know some kind of corpus stuff usually that that we've got on a c d rom or something onto that new disk to free up space on other disks.,S
1620,uh but we i would like to go through sit down with you about some of these other ones and see if we can move them onto um this new disk also.,S
1627,um,F
1628,so far i've i've copied a couple of things.,S
1631,and i haven't looked at the any of the aurora stuff.,S
1636,yeah.,F
1637,i i just,D
1640,well we were thinking about using this systematically for all the experiments.,S
1644,but,D
1646,so that this could be another dimension.,S
1659,so that it's plausible for the final thing.,S
1662,so i guess,D
1667,you know maybe have it be somewhat visual little bit.,S
1671,so we can say what we're doing.,S
1677,anything else that,D
1684,okay.,B
1687,all right.,F
1688,and uh and the other the the last topic i had here was um uh dave's fine offer to to uh do something on this.,S
1693,yeah.,F
1694,i was thinking perhaps if um additionally to all these experiments which is not really research.,S
1717,that's a good thing you remove the mike.,S
1721,uh,F
1722,what an additional clever person could help with when we're really in a crunch for time.,S
1730,over years if he's if he's interested in you know voiced-unvoiced-silence he could do a lot.,S
1737,so that that's the question.,S
1743,yes.,S
1751,yeah.,S
1753,uh,F
1754,yeah.,S
1763,or you know a so so job.,S
1778,um,F
1779,and the other tricky thing is since we are,D
1790,um,F
1791,so uh,F
1792,so i think,D
1801,um creating the the superset.,S
1804,uh creating a superset from looking at the multiple languages.,S
1817,so you'd have to create a mapping from each language to the superset.,S
1825,carmen was talking about this sampa thing.,S
1828,and um they they have a web site that stephane was showing us that has um has all the english phonemes and their sampa correspondent um phoneme.,S
1859,aha.,S
1874,and yeah.,F
1875,and the result was that apparently when testing on cross language it was better.,S
1879,but,D
1902,i see.,S
1904,right.,S
1912,yeah.,B
1915,yeah.,S
1936,they were talking about perhaps.,S
1938,but they,D
1953,uh the second class way of doing it is to look at the uh phones that are labeled.,S
1959,articulatory feature.,S
1965,you either do that or you have multiple nets.,S
1967,i see.,S
1969,and um,F
1970,i don't know if our software this if the versions of the quicknet that we're using allows for that.,S
1976,we have gotten soft targets to to work.,S
1983,that's another thing that could be done.,S
1986,now the fact even though it's a smaller number it's still fine.,S
1998,um,F
1999,i mean if your net is going to be outputting uh a vector of basically of,D
2004,i don't know if you know this for your testing data.,S
2018,and they they had done a cheating experiment or something right?,S
2022,well hynek said that that i guess before they had him work on this they had done some experiment where if they could get that one feature right it dramatically improved the result.,S
2053,nonlinearity.,S
2067,i think i think apparently the uh,D
2076,if you're going to do a k l transform on it.,S
1,thanks very much for coming.,S
3,so um,F
4,let's see.,S
10,huh.,B
16,so um,F
17,it struck me that um you know we could start out with some sort of general thing about um things that you found easier or more difficult with respect to transcribing or checking or using the interface or uh dealing with the time bins or any aspect of that type.,S
22,so,F
23,maybe we could just um start with issues of the the up there at the top of,D
32,i don't know very much about this kind of stuff.,S
39,parentheses meaning uncertainty.,S
59,especially when describing like the set up in this room also and the different types of mikes.,S
62,uhhuh.,B
86,some of them just occurred over and over the again.,S
95,uhhuh.,B
145,i liked them.,S
163,um,F
164,i forget who it was that i was transcribing.,S
171,i was getting a little frustrated.,S
189,you know.,F
190,uh somebody who speaks like chinese or something.,S
201,and then i've worked with larry hyman on like some of the bantu languages.,S
203,uhhuh.,B
234,but,D
248,there was a couple of different spanish speakers.,S
256,and i can't really answer that.,S
262,oh yeah.,S
265,and i've taken lots,D
268,um when i when i correct it i can i can tell that the person who um transcribed it before me probably didn't speak spanish.,S
291,right.,B
327,uhhuh.,B
362,yeah i had the same experience.,S
386,you know she was from probably continental spain versus you know other spanish.,S
412,and in my case with with uh german i a certain region that i do well in.,S
425,and,D
443,and it was kind of it was very hard to transcribe.,S
458,uhhuh.,B
462,because that's definitely something that i wouldn't have be able to do.,S
487,or they're laughing when they're talking.,S
494,or just,D
503,uhhuh.,B
526,right.,S
536,oh good to know.,S
542,so that was you're talking about early on the change into channeltrans.,S
568,and you had to mark interruptions by a slash.,S
574,overlaps.,S
586,wow that's difficult.,S
602,that's possible.,S
609,well it's,D
628,huh.,B
634,yeah.,B
641,you know.,F
642,in the,D
669,i always adjust the time bins.,S
698,i mean i usually ended adjusting them a little bit.,S
701,definitely when something's cut off at the beginning or the end.,S
733,the the g it was pronounced as a k.,S
745,that's kind of interesting.,S
756,yeah.,B
793,i like that.,S
804,i i don't remember the words exactly.,S
808,if you connected it all together it completely changed what was right before it and what was right after it.,S
821,and maybe the pause was just so short that it made up a pause.,S
824,there are some times when there have been words that they just pause right in the middle of.,S
831,it i'm sure sometimes on purpose.,S
838,uhhuh.,B
841,uh there's,D
861,it you guys are getting so good that it's like i'm i i i can get through them faster and i'm getting to the point where i maybe don't have to go through them all the way.,S
867,and so i'm not going to be checking them all i don't think in the for throughout the whole rest of the project.,S
869,certainly have spot checking.,S
933,and some people just say kay.,S
935,yeah.,S
1018,right.,S
1022,i don't usually get,D
1028,yeah that came up a couple of times.,S
1030,yeah.,B
1033,i agree.,S
1063,i mean i can only think of like two or three occasions where i sat and thought about it for a while.,S
1067,it's okay.,S
1078,you know if there's interesting uh hypotheses that the that have been suggested to you by looking at the data.,S
1081,hnh.,B
1101,okay.,S
1114,thanks.,S
1155,yeah so we'll survive.,S
1162,so um,F
1163,oh.,S
1181,uh moving from having the first transcription done by an external service and then you correcting that versus doing the initial transcription yourselves.,S
1238,no.,S
1248,no.,S
1253,i didn't either.,S
1289,the ones that say i b m are like they actually say i b m.,S
1321,is,D
1394,oh okay.,S
1396,let's see.,F
1397,they hear them,D
1403,and especially you can see if you have like four speakers it be you can maybe find a way of doing that.,S
1436,um,F
1437,um there are cases where you'll get a segment and it's someone else's utterance.,S
1478,they're very fast.,S
1505,uhhuh.,B
1511,i would not be as thorough.,S
1536,but i mean it's still it's still cool.,S
1540,yeah i did i did like actually doing the transcribing a little bit more.,S
1549,and when you're when you're um just checking you're you're usually just looking for certain things that you know are going to come up.,S
1564,yeah i really do.,S
1575,like i i change time bins a lot.,S
1581,so i guess i don't see too much of a difference.,S
1604,i'm,D
1648,yeah that's right.,S
1699,you can hear there's like.,S
1707,yeah.,S
1722,because everyone's laughing.,S
1744,have you noticed that,D
1749,yeah yeah.,S
1787,i remember transcribing one person.,S
1793,i think i know who you're talking about.,S
1796,but then some people tend to,D
1819,i sort of end up feeling like i know these people better than i really do.,S
1837,if you're in the meeting yourself then you of course you'd have access to all this information and all your inferences about you know whether they're funny or not funny or whatever.,S
1866,neat.,S
1870,yeah yeah yeah.,F
1871,nice guy.,S
1883,yeah i'm sure you've seen her.,S
1885,uh but,F
1886,i must have.,S
1890,yeah i think she's got a nice voice.,S
1893,yeah.,B
1911,i mean it's like,D
1919,it's it's very interesting the ambience that you can get through these these little things.,S
1927,and then you can,D
1964,i just i start zoning out sometimes.,S
1985,yeah.,S
2030,wow.,S
2061,gets coffee.,S
2074,that's good.,S
2077,so we still technically,D
2092,so um,F
2093,let's see.,F
2094,i had something that i could bring up.,S
2097,as far as ideas about looking at the data and getting ideas about whatever you said hypotheses about how to figure it out.,S
2106,huh.,B
2122,do you people,D
2145,i don't necessarily do it as often as the one speaker i'm thinking of.,S
2147,but i do do that because,D
2204,but that's not really an example of this.,S
2239,that's cool.,S
2256,or,D
2294,if you,D
2317,so the one i'm thinking of is like if like ha ha.,S
2321,so he's laughing.,S
2331,kind of like uh.,S
2361,but it just seems like it's more prominent than,D
2373,yeah like let's come back to the original subject.,S
2375,and i will take it from there.,S
2399,so you don't offend me about how good my joke was.,S
2401,it's almost like okay.,S
2420,yeah.,S
2502,i and he's they they have this nice mutual condescending joking thing going on.,S
2509,and then at one point she you know at another meeting she she was not sure which channel she was on.,S
2535,well so do we would would we could do digits if we so desired.,S
2573,yeah.,B
2608,i guess it would be,D
2623,sometimes when people are reading zero they say o.,S
2701,i would say don't worry about that.,S
2706,the uh the interface that these guys used uh allows you to set the time boundaries really accurately.,S
2713,okay so,F
2737,we just start out we and you you say transcript l whatever it is.,S
19,it seemed like there were still some issues.,S
55,well our argument was everybody has access to our code and everybody always had access to our code.,S
